portalName,section,area,region,state,communities
"Area 1B",1,B,,Ca,
"Area 1C",1,C,,Ca,
"Area 1D",1,D,,Ca,
"Area 1F",1,F,,Ca,
"Area 1G",1,G,,Ca,
"Area 1H",1,H,,Ca,
"Area 1N",1,N,,Ca,
"Area 1P",1,P,,Ca,
"Area 1R",1,R,,Ca,
"Area 1S",1,S,,Ca,
"Area 1U",1,U,,Ca,
"AYSO Area 1F",1,F,,Ca,
"AYSO West Adams Region 1647",1,P,1647,Ca,"LOS ANGELES, WEST ADAMS, MID CITY, MID WILSHIRE"
"Pass Area AYSO Region 641",1,N,641,Ca,"BANNING, BEAUMONT, CABAZON, CALIMESA, CHERRY VALLEY, YUCAIPA"
"Region 1",2,N,1,Ca,"REDWOOD CITY"
"Region 10",1,F,10,Ca,"PALOS VERDES ESTATES, PALOS VERDES PENINS., RANCHO PALOS VERDES, ROLLING HILLS, ROLLINGS HILLS EST., TORRANCE, SAN PEDRO"
"Region 100",7,O,100,Ha,"KAILUA, WAIMANALO, KANEOHE"
"Region 1001",2,E,1001,Ne,WELLS
"Region 1003",13,A,1003,Pe,RIDGE-HYNDMAN
"Region 1004",13,A,1004,Pe,"BAKERS SUMMIT, CURRYVILLE, HOPEWELL, LOYSBURG, MARTINSBURG, NEW ENTERPRISE, NORTHERN BEDFORD, ROARING SPRING, WATERSIDE, WOODBURY"
"Region 1005",6,B,1005,Wi,"AMERY, DRESSER, NEW RICHMOND, OSCEOLA, SOMERSET, ST CROIX FALLS, STAR PRAIRIE, SHAFER, FRANCONIA, SCANDIA, LINDSTROM, CENTER CITY"
"Region 1007",6,D,1007,Il,"DEERFIELD, BANNOCKBURN, RIVERWOODS, LINCOLNSHIRE, HIGHLAND PARK, NORTHBROOK, GLENVIEW"
"Region 1008",3,G,1008,Ne,GOUVERNEUR
"Region 1011",5,F,1011,Al,GUNTERSVILLE
"Region 1012",7,A,1012,Ha,"KAU  - DISTRICT OF, NAALEHU, OCEAN VIEW, PAHALA, WAIOHINU"
"Region 1015",3,G,1015,Ne,"AMES, CANAJOHARIE, PALATINE BRIDGE, SPRAKERS"
"Region 102",9,I,102,Id,"AMMON, IDAHO FALLS, IONA, UCON, SHELLEY"
"Region 1020",12,B,1020,Ar,"LAKESIDE, PINETOP, WHITE RIVER"
"Region 1021",3,G,1021,Ne,"SHARON SPRINGS"
"Region 1026",13,D,1026,Oh,"AURORA, MACEDONIA, NORTHFIELD, REMINDERVILLE, SAGAMORE HILLS, SOLON, TWINSBURG"
"Region 1028",4,C,1028,Ar,"ALTUS, MULBERRY, OZARK, PLEASANT VIEW"
